title,percentage,cash,time
Blackout Vol.2 - Pré-Venda,36%,R$ 2.185,48 dias
Dia sem Pressa | Slow Day,9%,R$ 2.160,24 dias
Madeline - Um Conto de Natal,11%,R$ 2.115,26 dias
Livro "Caminhando Juntas",3%,R$ 1.770,23 dias
Coletiva de imprensa com Zahi Hawass,43%,R$ 1.735,12 dias
A Cabana - Pela Querida Cibele,26%,R$ 1.715,32 dias
Cinco Gatos e Meio,34%,R$ 1.700,16 dias
A LUZ INCIDIU SOBRE NÓS COMO A PÁLIDA NOITE,15%,R$ 1.562,Iniciado há<br />119 dias
Queda (curta-metragem),42%,R$ 1.455,15 dias
ESCÓRIA: O Maldito sem Sangue,10%,R$ 1.405,23 dias
O CASO INCOMUM DA MÃE ZUMBI,27%,R$ 1.375,18 dias
Estamos de Mudança - TETO Brasil,5%,R$ 1.090,9 dias
Os Devaneios de Mupa - Despertar,41%,R$ 1.055,55 dias
DEIXA RAIAR,5%,R$ 1.013,48 dias
CD/DVD Alegria Eterna,5%,R$ 896,Iniciado há<br />18 dias
VIAJAR | Aline Vivas,1%,R$ 831,Iniciado há<br />47 dias
MILLA TULI - DVD FLORESCÊNCIA,3%,R$ 675,Iniciado há<br />21 dias
Buddy Hunter ,32%,R$ 560,41 dias
Formatado na Patente,17%,R$ 550,41 dias
Eu Sou do Gead!,40%,R$ 470,12 dias
RP - Construção 1911 - Bruna Rosario,2%,R$ 390,30 dias
MG - Construção 1910 - Helena Machado,3%,R$ 300,29 dias
VIII BITCONF,0%,R$ 250,Iniciado há<br />1 dia
3º CD Maracatu Coração Nazareno 15 anos na Cultura,2%,R$ 130,59 dias
Revista Contexto #4,1%,R$ 50,43 dias
SWEETUF 4 ANOS,1%,R$ 45,13 dias
Kaminari RessaKa 2019,0%,R$ 40,67 dias
A Flor da Gigóia,11%,R$ 8.445,43 dias
Ônibus Elétrico Alimentado por Energia Solar,5%,R$ 7.735,52 dias
O Risco do Artista,34%,R$ 6.130,14 dias
Publicação do livro da Expedição Raiz,27%,R$ 5.950,Iniciado há<br />101 dias
Dadona - Álbum de estréia,18%,R$ 5.863,Iniciado há<br />80 dias
Miniaturas Monstros Épicos - Hero Maker,110%,R$ 5.503,51 dias
