title,percentage,cash,time
Livro Viajo logo Existo no Velho Continente,224%,R$ 67.474,
Politize!,104%,R$ 67.395,
Campo Dr. Sócrates Brasileiro ,112%,R$ 67.269,
#Uneafroresiste,113%,R$ 66.912,
na pele - Um Musical Off-Broadway,107%,R$ 66.677,
 AIESEC no Brasil e Instituto Elos levam projeto Oasis a 11 comunidades,110%,R$ 66.373,
Documentário "Arquitetura como prática política",113%,R$ 65.923,
Téo & O Mini Mundo: O LIVRO,331%,R$ 65.628,
Você Fiscal—Fiscalize a eleição	 garanta seu voto,218%,R$ 65.540,
Amigos da Casa Plana,109%,R$ 65.425,
TORO (sereno até perder a calma),72%,R$ 65.077,
Skyfall RPG,202%,R$ 64.885,
Epicentro,129%,R$ 64.878,
Imperial 2030,259%,R$ 64.869,
Scambo "Animal",129%,R$ 64.669,
Documentário Chega de Fiu Fiu ,322%,R$ 64.433,
PIMP MY CARROÇA,167%,R$ 63.950,
Araruama - O Livro das Raízes,255%,R$ 63.931,
Sertão como se fala ,101%,R$ 63.822,
[+18] Nudus Magazine #6 - Edição de 3 Anos.,201%,R$ 63.745,
Livres,105%,R$ 63.170,
A Sinfonia do Infinito - Filme,185%,R$ 63.075,
A Fantástica Fábrica de Golpes,52%,R$ 62.703,
FUTBOARD,348%,R$ 62.669,
Back to the Game CaioGallucci ,104%,R$ 62.660,
Rio Itaúnas Sempre Vivo,103%,R$ 62.212,
Série Restus,116%,R$ 62.126,
IoT Surfboard,206%,R$ 62.020,
Documentário Resgate 30 anos (Título Provisório),51%,R$ 61.708,
O ATELIER - uma exposição	 um curta metragem,104%,R$ 61.670,
Livro "Ícones dos Quadrinhos",181%,R$ 61.665,
ANAVITÓRIA | Nosso primeiro disco,128%,R$ 61.505,
Nijinsky em Avignon,122%,R$ 61.476,
Valente - O amor em jogo,944%,R$ 61.387,
#SPSemFrio,114%,R$ 61.175,
Retratos pra Yayá,135%,R$ 61.166,
Nacra 17 nas olímpiadas Rio 2016,111%,R$ 61.161,
imaginavc,109%,R$ 61.147,
A sede do Barão Precisa de Você! Doe!,122%,R$ 61.140,
Portal da campanha “Quem são os Proprietários do Brasil?”,108%,R$ 60.998,
DREAM:IN Brasil,101%,R$ 60.900,
Ajude a Nath a fazer pesquisa em Harvard,214%,R$ 60.817,
Livro Terra Adentro Do Ártico ao Saara de Carro,173%,R$ 60.790,
Runicards - Card game cooperativo de ação e aventura!,506%,R$ 60.786,
ASTOLAT - O Mundo Particular de Parzifal e Elaine,139%,R$ 59.854,
Vida de Criança: CD	 show e clipe colaborativo,114%,R$ 59.680,
"O Filho dos Outros" - websérie sobre a redução da maioridade penal no Brasil,118%,R$ 59.425,
Chamado de Cthulhu,155%,R$ 59.276,
Livro Fé Latina,111%,R$ 59.260,
Livro Terra Adentro Entre os Extremos das Américas,185%,R$ 59.242,
Apanhador Só - Segundo Álbum,132%,R$ 59.188,
Tiquequê - DVD Era Uma Vez Um Gigante,107%,R$ 59.180,
All Type Tarot,787%,R$ 59.098,
UMA REFORMA	 90 FUTUROS,66%,R$ 58.957,
Reportagem Pública,124%,R$ 58.935,
Carolina Sá - Teseu,102%,R$ 58.705,
Ônibus Hacker,146%,R$ 58.593,
Catálogo 11ª Bienal ADG 2015,130%,R$ 58.569,
Livro: Os Quadrinhos da Editora Abril,233%,R$ 58.431,
Rosa Rosah	 "É Bom",100%,R$ 58.400,
13ª Era RPG,176%,R$ 58.390,
Beagá pra brincar,120%,R$ 58.330,
Will Tirando | O Livro,269%,R$ 57.856,
Livro "Viajo logo Existo na África Selvagem",180%,R$ 57.806,
Expedição Vivalá ,115%,R$ 57.785,
Calendário Ilustrado Athos Bulcão 2018,104%,R$ 57.541,
Ajude a Manter os Nossos Seminaristas por 1 Mês!,57%,R$ 57.148,
Expedição Garupa – Chapada do Araripe	 Piauí,96%,R$ 57.130,
Diego Fernandes - Novo CD ,126%,R$ 57.121,
Além dos Trilhos,228%,R$ 57.090,
Circo Zanni: O Espetáculo não para. Tem sequência!,98%,R$ 57.070,
S.A.S. Brasil 3 :-) :-) :-),100%,R$ 56.950,
O palco nos une,113%,R$ 56.827,
PrimeiroLivro: 300 crianças escrevendo seus livros,113%,R$ 56.572,
Bariloche	 10 anos de AVC.,171%,R$ 56.520,
Balbúrdia	 O Filme.,105%,R$ 56.095,
Interações Mente-Matéria,116%,R$ 56.069,
Cólera - Disco Novo (Acorde! Acorde! Acorde!),121%,R$ 55.973,
LIVRO “VOLTA AO MUNDO EM 12 ESCOLAS”,116%,R$ 55.956,
Lankhmar,185%,R$ 55.704,
Grupo Triii - CD Dia e Noite,100%,R$ 55.516,
10 Anos de Bolovo - o Livro,110%,R$ 55.428,
Dharma 2017. Fotos da Índia	 Nepal e do Brasil.,57%,R$ 55.330,
Dora e a gata: o livro,196%,R$ 55.050,
Além da Cura - Beyond the Cure,109%,R$ 54.840,
Merlin & Metro: Board Games,182%,R$ 54.806,
Pélaghos - Board Game,143%,R$ 54.715,
Outras meninas,170%,R$ 54.672,
