title,percentage,project_url,cash,time
Livro DayTrippers - 1300 dias pelo mundo,172%,/daytrippers?ref=ctrse_explore,R$ 77.590,28/10/2016
Filhos da Floresta | Bambi e Pocahontas,115%,/filhosdafloresta?ref=ctrse_explore,R$ 77.363,06/05/2019
desalinho,134%,/guipoulain?ref=ctrse_explore,R$ 76.925,08/05/2019
Última Fortaleza: Um jogo em que você é o monstro!,174%,/ultimafortaleza?ref=ctrse_explore,R$ 76.809,09/05/2014
Numenera,191%,/Numenera?ref=ctrse_explore,R$ 76.426,07/01/2015
Festival Artes Vertentes,116%,/artesvertentes?ref=ctrse_explore,R$ 76.310,28/08/2013
Motta Porn Zine,253%,/motta_porn_zine?ref=ctrse_explore,R$ 76.065,27/09/2018
The Sky is Falling 2 - The Revenge of Foxy Roxy,101%,/theskyisfalling2?ref=ctrse_explore,R$ 75.965,25/04/2017
Toda Coração,101%,/todacoracao?ref=ctrse_explore,R$ 75.806,19/07/2017
Selene The Fantasy ,216%,/selenethefantasy?ref=ctrse_explore,R$ 75.774,20/09/2013
Tour PodCycle - Veículo Elétrico Inteligente,110%,/EvPodCycle?ref=ctrse_explore,R$ 74.957,22/11/2015
Fortaleça a Ponte Jornalismo,57%,/fortalecapontejornalismo?ref=ctrse_explore,R$ 74.689,19/05/2017
Tormenta: O Desafio dos Deuses,124%,/tormentadesafio?ref=ctrse_explore,R$ 74.515,15/04/2013
Fofuuu,105%,/fofuuu?ref=ctrse_explore,R$ 73.860,23/04/2018
Tempo | Coworking no Litoral Norte,113%,/tempocollective?ref=ctrse_explore,R$ 73.525,14/08/2015
CD LUIS KIARI,102%,/luiskiari?ref=ctrse_explore,R$ 73.418,29/03/2014
Festival BaixoCentro 2013,116%,/BaixoCentro2013?ref=ctrse_explore,R$ 72.750,30/03/2013
SP Sem Frio 2018,112%,/spsemfrio?ref=ctrse_explore,R$ 72.575,15/06/2018
WikiLab,114%,/wikilab?ref=ctrse_explore,R$ 72.115,04/06/2017
O Bestiário Particular de Parzifal,266%,/Parzifal?ref=ctrse_explore,R$ 72.044,19/07/2017
Seja um Patrono TeeNOW,118%,/teenow?ref=ctrse_explore,R$ 71.384,21/07/2018
Vamos parar com essa dor?,26%,/vamos_parar_com_essa_dor_d1a2?ref=ctrse_explore,R$ 70.245,27/11/2017
Reportagem Pública 2015,140%,/reportagempublica2015?ref=ctrse_explore,R$ 70.200,07/03/2015
Campanha contra a Privatização da BR e Liquigas,5%,/campanha_contra_a_privatizacao_da_petrobras_distribuidora_e_liquigas_0156?ref=ctrse_explore,R$ 70.096,18/10/2016
Livro Autoridade Fitness,200%,/livro-autoridade-fitness?ref=ctrse_explore,R$ 70.055,20/06/2018
Anésia | O Livro,324%,/anesia?ref=ctrse_explore,R$ 70.030,03/10/2017
Charlotte | 1º desenho animado da Suppa,101%,/suppa?ref=ctrse_explore,R$ 70.030,16/07/2016
CryptoRave 2017,116%,/cryptorave2017?ref=ctrse_explore,R$ 69.605,14/04/2017
Escola Projeto 30 anos:  livro	 música e arte,107%,/escola_projeto_30_anos_livro_musica_e_arte_fazendo_parte_725d?ref=ctrse_explore,R$ 69.510,05/10/2018
