contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
385 pessoas,Meta R$ 34.305,R$ 36.773,Campanha Tudo-ou-nada , São Paulo	 SP,Livro Conversa com Criança: Presença - Caminho,107%,R$ 36.773,04/10/2014,/conversacomcrianca?ref=ctrse_explore
171 pessoas,Meta R$ 80.000,R$ 36.743,Campanha Flexível , São Paulo	 SP,Em busca de Kardec - Documentário,45%,R$ 36.743,31/07/2019,/em_busca_de_kardec?ref=ctrse_explore
377 pessoas,Meta R$ 32.000,R$ 36.735,Campanha Tudo-ou-nada , São Paulo	 SP,O Beijo Adolescente - Segunda Temporada,114%,R$ 36.735,19/08/2012,/o-beijo-adolescente-segunda-temporada?ref=ctrse_explore
269 pessoas,Meta R$ 20.000,R$ 36.620,Campanha Tudo-ou-nada , Campinas	 SP,CFD	 um guia prático de simulação!,183%,R$ 36.620,09/07/2016,/CFD?ref=ctrse_explore
240 pessoas,Meta R$ 26.000,R$ 36.620,Campanha Tudo-ou-nada , São Paulo	 SP,Sombras Urbanas,140%,R$ 36.620,08/12/2017,/sombrasurbanas?ref=ctrse_explore
222 pessoas,Meta R$ 25.000,R$ 36.573,Campanha Tudo-ou-nada , Fortaleza	 CE,FIA {oficina de artesãs},146%,R$ 36.573,13/11/2015,/fiaoficina?ref=ctrse_explore
219 pessoas,Meta R$ 35.000,R$ 36.538,Campanha Flexível , Rio de Janeiro	 RJ,Diaspora.Black: seu apoio nos fortalece! ,104%,R$ 36.538,05/03/2018,/diasporablack?ref=ctrse_explore
287 pessoas,Meta R$ 35.000,R$ 36.492,Campanha Tudo-ou-nada , São Paulo	 SP,Entregue-me - CD  Luciana Barros ,104%,R$ 36.492,18/12/2015,/entreguemelucianabarros?ref=ctrse_explore
186 pessoas,Meta R$ 35.103,R$ 36.483,Campanha Tudo-ou-nada , São Paulo	 SP,Projeto Cantos da Resistência - Pela preservação da memória	 contra o esquecimento,103%,R$ 36.483,01/08/2015,/cantosdaresistencia?ref=ctrse_explore
337 pessoas,Meta R$ 34.420,R$ 36.483,Campanha Tudo-ou-nada , São Paulo	 SP,Limpam com Fogo,105%,R$ 36.483,11/06/2014,/limpamcomfogo?ref=ctrse_explore
186 pessoas,Meta R$ 35.000,R$ 36.460,Campanha Tudo-ou-nada , São Paulo	 SP,Bike Anjo no 8º Fórum Mundial da Bicicleta - FMB8,104%,R$ 36.460,26/03/2019,/bikeanjonofmb8?ref=ctrse_explore
287 pessoas,Meta R$ 34.480,R$ 36.350,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Sophie	 Charlotte e os Quase-Adultos,105%,R$ 36.350,27/02/2016,/queroserfilme?ref=ctrse_explore
194 pessoas,Meta R$ 33.500,R$ 36.310,Campanha Tudo-ou-nada , São Paulo	 SP,Jogo da Política,108%,R$ 36.310,07/04/2018,/jogodapolitica?ref=ctrse_explore
233 pessoas,Meta R$ 33.000,R$ 36.280,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,O Último Show dos Primos,109%,R$ 36.280,05/12/2017,/showdosprimos?ref=ctrse_explore
206 pessoas,Meta R$ 34.455,R$ 36.265,Campanha Tudo-ou-nada , Campinas	 SP,Histórias que Cantam por Aí,105%,R$ 36.265,14/12/2013,/ale?ref=ctrse_explore
66 pessoas,Meta R$ 33.900,R$ 36.210,Campanha Tudo-ou-nada , Campinas	 SP,S.A.S. Brasil 2 :-),106%,R$ 36.210,23/08/2014,/sasbrasil2?ref=ctrse_explore
688 pessoas,Meta R$ 30.000,R$ 36.205,Campanha Tudo-ou-nada , São Paulo	 SP,Turismo de Empatia: Refugiados no Oriente Médio,120%,R$ 36.205,06/02/2016,/turismodeempatia?ref=ctrse_explore
771 pessoas,Meta R$ 19.000,R$ 36.182,Campanha Tudo-ou-nada , São Paulo	 SP,Livro infantil "O Mamá é da Mamãe",190%,R$ 36.182,06/06/2018,/maesdepeito?ref=ctrse_explore
438 pessoas,Meta R$ 30.000,R$ 36.151,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,DesFarsa	 o segundo CD de Bruno Camurati,120%,R$ 36.151,17/05/2014,/cddesfarsa?ref=ctrse_explore
325 pessoas,Meta R$ 25.000,R$ 36.062,Campanha Tudo-ou-nada , Santa Maria	 RS,Um Palco sem Cupim e um Teto que não Caia em mim,144%,R$ 36.062,07/04/2014,/cupim?ref=ctrse_explore
484 pessoas,Meta R$ 30.000,R$ 36.021,Campanha Tudo-ou-nada , São Paulo	 SP,O TERNO - Finalização do novo disco!,120%,R$ 36.021,16/08/2014,/oterno?ref=ctrse_explore
