contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
310 pessoas,Meta R$ 9.800,R$ 24.045,Campanha Tudo-ou-nada , São Paulo	 SP,Bem-vindo ao meu coração,245%,R$ 24.045,21/11/2014,/bemvindoaomeucoracao?ref=ctrse_explore
91 pessoas,Meta R$ 24.000,R$ 24.045,Campanha Tudo-ou-nada , Curitiba	 PR,Sépia Verde e Amarelo,100%,R$ 24.045,14/12/2014,/sepiaverdeamarelo?ref=ctrse_explore
172 pessoas,Meta R$ 21.300,R$ 24.010,Campanha Tudo-ou-nada , São Paulo	 SP,A Maldição de Boa Fortuna,112%,R$ 24.010,24/05/2013,/boafortuna?ref=ctrse_explore
171 pessoas,Meta R$ 21.500,R$ 24.010,Campanha Tudo-ou-nada , São Paulo	 SP,Ecos do Caminho do Sertão,111%,R$ 24.010,23/06/2015,/ecosdocaminho?ref=ctrse_explore
124 pessoas,Meta R$ 24.138,R$ 23.992,Campanha Tudo-ou-nada , São Paulo	 SP,Esperando Godot,99%,R$ 23.992,11/10/2016,/esperandogodot?ref=ctrse_explore
69 pessoas,Meta R$ 23.900,R$ 23.900,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,DOIS PESOS E DUAS MEDIDAS,100%,R$ 23.900,16/10/2012,/doispesosduasmedidas?ref=ctrse_explore
161 pessoas,Meta R$ 23.155,R$ 23.890,Campanha Tudo-ou-nada , São Paulo	 SP,Projeto Casusbelli,103%,R$ 23.890,09/02/2017,/projetocasusbelli?ref=ctrse_explore
441 pessoas,Meta R$ 18.000,R$ 23.843,Campanha Tudo-ou-nada , Fortaleza	 CE,Magra de Ruim - O Livro ,132%,R$ 23.843,05/06/2014,/magraderuim?ref=ctrse_explore
178 pessoas,Meta R$ 60.000,R$ 23.837,Campanha Flexível , Porto Alegre	 RS,Livro Agroecologia 7.0 ,39%,R$ 23.837,27/01/2019,/Agroecologia70SebastiaoPinheiro?ref=ctrse_explore
279 pessoas,Meta R$ 19.540,R$ 23.815,Campanha Tudo-ou-nada , Florianópolis	 SC,Victor Pradella - CD/DVD ao vivo Na Casa da Colina,121%,R$ 23.815,26/02/2016,/victorpradella?ref=ctrse_explore
241 pessoas,Meta R$ 20.000,R$ 23.805,Campanha Tudo-ou-nada , São Bernardo do Campo	 SP,Capela Sangue Novo,119%,R$ 23.805,06/01/2015,/Capelasanguenovo?ref=ctrse_explore
217 pessoas,Meta R$ 22.370,R$ 23.799,Campanha Tudo-ou-nada , São Paulo	 SP,Mil Orquídeas Marginais,106%,R$ 23.799,12/10/2014,/milorquideasmarginais?ref=ctrse_explore
193 pessoas,Meta R$ 20.000,R$ 23.791,Campanha Tudo-ou-nada , São Paulo	 SP,Coratio - 30 anos do "Brasil: Nunca Mais",118%,R$ 23.791,11/04/2014,/coratio?ref=ctrse_explore
154 pessoas,Meta R$ 23.000,R$ 23.765,Campanha Tudo-ou-nada , São Paulo	 SP,Caravana Agroecológica rumo ao Vale do Ribeira,103%,R$ 23.765,14/05/2016,/caravana_agroecologica_sp?ref=ctrse_explore
95 pessoas,Meta R$ 30.000,R$ 23.765,Campanha Flexível , São Paulo	 SP,A Gal quer levantar 60 casas em SP. Apoie!,79%,R$ 23.765,09/05/2019,/galteto?ref=ctrse_explore
162 pessoas,Meta R$ 20.000,R$ 23.700,Campanha Tudo-ou-nada , São Paulo	 SP,VIDEOCLIPE ALMA DJEM E IVO MOZART - BANHO DE CHUVA,118%,R$ 23.700,27/11/2014,/BANHODECHUVA?ref=ctrse_explore
82 pessoas,Meta R$ 58.880,R$ 23.690,Campanha Flexível , Rio de Janeiro	 RJ,WASTHAVASTAHUNN DICIONÁRIO HESIGUAL FERNANDO DUVAL,40%,R$ 23.690,27/07/2019,/fernandoduvaldicionario?ref=ctrse_explore
77 pessoas,Meta R$ 23.000,R$ 23.670,Campanha Tudo-ou-nada , São Paulo	 SP,Essa moça faz o que melhor faria,102%,R$ 23.670,09/06/2012,/essa-moca-faz-o-que-melhor-faria?ref=ctrse_explore
288 pessoas,Meta R$ 20.575,R$ 23.660,Campanha Tudo-ou-nada , São Paulo	 SP,Snaps Fanzine #5,114%,R$ 23.660,10/04/2016,/snapsfanzine5?ref=ctrse_explore
383 pessoas,Meta R$ 17.000,R$ 23.631,Campanha Tudo-ou-nada , Curitiba	 PR,Daniel e Bianca - O Livro,139%,R$ 23.631,30/05/2014,/danielebianca?ref=ctrse_explore
279 pessoas,Meta R$ 15.517,R$ 23.615,Campanha Tudo-ou-nada , São Paulo	 SP,As Aventuras da Gotinha D'Água,152%,R$ 23.615,18/09/2014,/gotinha?ref=ctrse_explore
147 pessoas,Meta R$ 17.800,R$ 23.575,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,3x4 - Se eu não fosse eu,132%,R$ 23.575,19/12/2015,/3x4?ref=ctrse_explore
100 pessoas,Meta R$ 20.000,R$ 23.540,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,PARA OS QUE ESTÃO EM CASA,117%,R$ 23.540,03/09/2014,/paraosqueestaoemcasa?ref=ctrse_explore
488 pessoas,Meta R$ 15.000,R$ 23.530,Campanha Flexível , Belo Horizonte	 MG,Meu Primeiro Livro de Programação,156%,R$ 23.530,22/11/2018,/meu_primeiro_livro_de_programacao_da4c?ref=ctrse_explore
190 pessoas,Meta R$ 100,R$ 23.490,Campanha Tudo-ou-nada , São Paulo	 SP,Abrigação - muito mais que um disco,23490%,R$ 23.490,10/07/2014,/abrigacao?ref=ctrse_explore
215 pessoas,Meta R$ 15.525,R$ 23.446,Campanha Flexível , Rio de Janeiro	 RJ,Fundo Estudantil UniCorre,151%,R$ 23.446,26/12/2017,/fundo_estudantil_unicorre_45ae?ref=ctrse_explore
173 pessoas,Meta R$ 22.374,R$ 23.425,Campanha Tudo-ou-nada , São Paulo	 SP,Ilú Obá de Min - Carnaval 2015,104%,R$ 23.425,17/03/2015,/iluobademincarnaval2015?ref=ctrse_explore
148 pessoas,Meta R$ 18.000,R$ 23.400,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Laila tinha uma surpresa - Um história de Shabat,130%,R$ 23.400,13/06/2015,/laila?ref=ctrse_explore
107 pessoas,Meta R$ 23.000,R$ 23.395,Campanha Tudo-ou-nada , Tijucas	 SC,Gravação 1º DISCO - Guilherme Franzói,101%,R$ 23.395,31/12/2017,/guilhermefranzoi?ref=ctrse_explore
431 pessoas,Meta R$ 15.000,R$ 23.361,Campanha Tudo-ou-nada , Itaguaçu	 ES,Mulheres Nos Quadrinhos - O Livro,155%,R$ 23.361,03/09/2014,/mulheresnosquadrinhos?ref=ctrse_explore
112 pessoas,Meta R$ 22.523,R$ 23.298,Campanha Tudo-ou-nada , São Paulo	 SP,Mulher	 o segundo sexo?,103%,R$ 23.298,28/10/2015,/mulher?ref=ctrse_explore
82 pessoas,Meta R$ 33.327,R$ 23.284,Campanha Flexível , Caxias do Sul	 RS,Livro Linha de Chegada ,69%,R$ 23.284,12/09/2018,/linhadechegada?ref=ctrse_explore
267 pessoas,Meta R$ 17.000,R$ 23.260,Campanha Tudo-ou-nada , São Paulo	 SP,Duologia Eu Vejo Kate,136%,R$ 23.260,07/04/2019,/kate?ref=ctrse_explore
252 pessoas,Meta R$ 15.000,R$ 23.244,Campanha Tudo-ou-nada , Juiz de Fora	 MG,Nosferatu - Desmascare o terrível vampiro,154%,R$ 23.244,01/07/2014,/nosferatu?ref=ctrse_explore
139 pessoas,Meta R$ 30.000,R$ 23.230,Campanha Flexível , Belo Horizonte	 MG,Celtas de Minas - Turnê e disco da banda Taverna ,77%,R$ 23.230,13/05/2019,/celtas_de_minas_2f92?ref=ctrse_explore
410 pessoas,Meta R$ 19.000,R$ 23.229,Campanha Tudo-ou-nada , São Paulo	 SP,Mundos em miniatura,122%,R$ 23.229,18/10/2018,/mundos_em_miniatura?ref=ctrse_explore
92 pessoas,Meta R$ 22.000,R$ 23.220,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Sobrevivência na Amazônia,105%,R$ 23.220,18/12/2018,/jogosobrevivencia?ref=ctrse_explore
103 pessoas,Meta R$ 22.600,R$ 23.195,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,As Aventuras do Menino Iogue,102%,R$ 23.195,05/08/2015,/meninoiogue?ref=ctrse_explore
166 pessoas,Meta R$ 20.072,R$ 23.188,Campanha Tudo-ou-nada , São Paulo	 SP,Coletânea Reedificações,115%,R$ 23.188,24/06/2019,/coletanea_reedificacoes?ref=ctrse_explore
185 pessoas,Meta R$ 20.000,R$ 23.151,Campanha Tudo-ou-nada , Belo Horizonte	 MG,graveola eurotour 2013,115%,R$ 23.151,31/07/2013,/graveola?ref=ctrse_explore
683 pessoas,Meta R$ 16.000,R$ 23.133,Campanha Tudo-ou-nada , Belém	 PA,ESQUADRÃO AMAZÔNIA,144%,R$ 23.133,20/09/2016,/esquadraoamazonia?ref=ctrse_explore
327 pessoas,Meta R$ 10.500,R$ 23.131,Campanha Tudo-ou-nada , São Paulo	 SP,Kalciferum - Demônios	 Bruxas e Vagantes!,220%,R$ 23.131,07/12/2015,/kalciferum?ref=ctrse_explore
180 pessoas,Meta R$ 18.000,R$ 23.102,Campanha Tudo-ou-nada , Limeira	 SP,Hiroines,128%,R$ 23.102,06/05/2014,/hiroines?ref=ctrse_explore
221 pessoas,Meta R$ 19.800,R$ 23.102,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Porta-laptop planificável,116%,R$ 23.102,21/06/2011,/porta-laptop-planificavel?ref=ctrse_explore
224 pessoas,Meta R$ 20.000,R$ 23.100,Campanha Tudo-ou-nada , Porto Alegre	 RS,Turucutá 2019,115%,R$ 23.100,03/02/2019,/turucuta2019?ref=ctrse_explore
74 pessoas,Meta R$ 22.400,R$ 23.100,Campanha Tudo-ou-nada , Alto Paraíso de Goiás	 GO,SARAVAMOS de Kombi,103%,R$ 23.100,14/07/2018,/saravamos_de_kombi_cd5e?ref=ctrse_explore
131 pessoas,Meta R$ 22.500,R$ 23.095,Campanha Tudo-ou-nada , Goiânia	 GO,Rabiscaria,102%,R$ 23.095,04/03/2011,/rabiscaria?ref=ctrse_explore
279 pessoas,Meta R$ 21.350,R$ 23.065,Campanha Flexível , Brasília	 DF,Leve o Brasil para as Olimpíadas Biônicas,108%,R$ 23.065,18/09/2016,/ema?ref=ctrse_explore
269 pessoas,Meta R$ 21.000,R$ 23.050,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Copacabana Sentimental,109%,R$ 23.050,20/10/2014,/copacabanasentimental?ref=ctrse_explore
170 pessoas,Meta R$ 16.950,R$ 23.045,Campanha Tudo-ou-nada , Curitiba	 PR,AUDAC produzida por Gordon Raphael,135%,R$ 23.045,02/06/2013,/AUDAC?ref=ctrse_explore
209 pessoas,Meta R$ 20.000,R$ 23.018,Campanha Tudo-ou-nada , Fortaleza	 CE,#1 Disco - DOCES NÁUFRAGOS,115%,R$ 23.018,08/06/2018,/ilya?ref=ctrse_explore
422 pessoas,Meta R$ 20.000,R$ 22.997,Campanha Tudo-ou-nada , Recife	 PE,Mona Migs,114%,R$ 22.997,10/09/2016,/monamigs?ref=ctrse_explore
231 pessoas,Meta R$ 30.000,R$ 22.990,Campanha Flexível , Rio de Janeiro	 RJ,Guardião – Marcelo Menezes e Paulo Cesar Pinheiro,76%,R$ 22.990,30/10/2018,/marcelomenezes?ref=ctrse_explore
236 pessoas,Meta R$ 22.000,R$ 22.965,Campanha Flexível , Salvador	 BA,CD Pirombeira,104%,R$ 22.965,13/11/2016,/cdpirombeira?ref=ctrse_explore
56 pessoas,Meta R$ 22.000,R$ 22.940,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Projeto Carioca Sobre Rodas,104%,R$ 22.940,12/03/2017,/cariocasobrerodas?ref=ctrse_explore
124 pessoas,Meta R$ 18.000,R$ 22.935,Campanha Tudo-ou-nada , Santos	 SP,Nostalgia: A Frota Nômade + Monad System,127%,R$ 22.935,10/07/2019,/nostalgia?ref=ctrse_explore
299 pessoas,Meta R$ 20.000,R$ 22.910,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Gravação do cd Fiandeira - Gabi Buarque,114%,R$ 22.910,13/06/2014,/gabibuarque?ref=ctrse_explore
336 pessoas,Meta R$ 15.000,R$ 22.897,Campanha Tudo-ou-nada , São Paulo	 SP,JIIN - Volume 2,152%,R$ 22.897,19/10/2018,/jiin2?ref=ctrse_explore
267 pessoas,Meta R$ 18.800,R$ 22.875,Campanha Tudo-ou-nada , São Paulo	 SP,Transformação Agroecológica Colaborativa,121%,R$ 22.875,18/09/2012,/transformacao-agroecologica-colaborativa?ref=ctrse_explore
112 pessoas,Meta R$ 500,R$ 22.873,Campanha Tudo-ou-nada , São Paulo	 SP,RPGQuest Dungeons Pré-Venda,4574%,R$ 22.873,23/01/2019,/rpgquest_dungeons_pre?ref=ctrse_explore
170 pessoas,Meta R$ 20.276,R$ 22.850,Campanha Tudo-ou-nada , São Paulo	 SP,Data4Good,112%,R$ 22.850,18/04/2013,/data4good?ref=ctrse_explore
149 pessoas,Meta R$ 22.215,R$ 22.838,Campanha Tudo-ou-nada , São Paulo	 SP,Casa de BARRO: Centro de Sustentabilidade,102%,R$ 22.838,17/07/2015,/casadebarro?ref=ctrse_explore
79 pessoas,Meta R$ 30.000,R$ 22.822,Campanha Flexível , São Paulo	 SP,O Adan quer levantar 60 casas em SP. Apoie!,76%,R$ 22.822,09/05/2019,/adanteto?ref=ctrse_explore
76 pessoas,Meta R$ 22.988,R$ 22.790,Campanha Tudo-ou-nada , Cachoeira	 BA,CD Expressão de Louvor,99%,R$ 22.790,07/01/2016,/cddiaconoalanbacelar?ref=ctrse_explore
166 pessoas,Meta R$ 60.000,R$ 22.770,Campanha Flexível , São Paulo	 SP,Livro Trilhas de um Sonhador,37%,R$ 22.770,10/10/2018,/trilhas_de_um_sonhador_9850?ref=ctrse_explore
211 pessoas,Meta R$ 20.747,R$ 22.759,Campanha Flexível , São Paulo	 SP,Conversa Ribeira - Do verbo chão,109%,R$ 22.759,06/07/2019,/conversaribeira_doverbochao?ref=ctrse_explore
332 pessoas,Meta R$ 21.000,R$ 22.749,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Livro: Como Sobrevivi Dois Anos Sem Tomada,108%,R$ 22.749,14/11/2018,/como_sobrevivi_dois_anos_sem_tomada?ref=ctrse_explore
233 pessoas,Meta R$ 20.000,R$ 22.728,Campanha Tudo-ou-nada , Campinas	 SP,Histriônica em Portugal!,113%,R$ 22.728,10/10/2014,/histrionicaemportugal?ref=ctrse_explore
140 pessoas,Meta R$ 50.000,R$ 22.710,Campanha Flexível , São Paulo	 SP,ImproMime no Festival IMPRO AMSTERDAM 2018,45%,R$ 22.710,25/12/2017,/impromime_festival_impro_amsterdam_2018_9952?ref=ctrse_explore
35 pessoas,Meta R$ 42.000,R$ 22.700,Campanha Flexível , São Paulo	 SP,Corpo-espelho,54%,R$ 22.700,27/11/2015,/corpo-espelho?ref=ctrse_explore
143 pessoas,Meta R$ 20.000,R$ 22.690,Campanha Tudo-ou-nada , Rio Branco	 AC,Quietude,113%,R$ 22.690,07/07/2016,/quietude?ref=ctrse_explore
157 pessoas,Meta R$ 20.000,R$ 22.680,Campanha Flexível , São Paulo	 SP,Abacaxepa lança ''CAROÇO'',113%,R$ 22.680,04/01/2019,/abacaxepa_lanca_caroco?ref=ctrse_explore
238 pessoas,Meta R$ 20.000,R$ 22.665,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,DRAG-SE,113%,R$ 22.665,12/10/2014,/dragse?ref=ctrse_explore
368 pessoas,Meta R$ 22.054,R$ 22.646,Campanha Flexível , Porto Alegre	 RS,Primeiro Álbum da TEM,102%,R$ 22.646,22/08/2017,/tem?ref=ctrse_explore
184 pessoas,Meta R$ 21.500,R$ 22.640,Campanha Tudo-ou-nada , São Paulo	 SP,Não ia ser bonito ,105%,R$ 22.640,12/08/2015,/naoiaserbonito?ref=ctrse_explore
201 pessoas,Meta R$ 17.000,R$ 22.595,Campanha Flexível , São Paulo	 SP, LOBO - Carolina Bianchi Y Cara de Cavalo,132%,R$ 22.595,21/05/2018,/lobo?ref=ctrse_explore
189 pessoas,Meta R$ 20.000,R$ 22.531,Campanha Tudo-ou-nada , São Paulo	 SP,Campanha Repense,112%,R$ 22.531,30/11/2014,/campanharepense?ref=ctrse_explore
241 pessoas,Meta R$ 22.000,R$ 22.497,Campanha Tudo-ou-nada , Juiz de Fora	 MG,Pôquer a seis,102%,R$ 22.497,19/01/2018,/poqueraseis?ref=ctrse_explore
151 pessoas,Meta R$ 20.690,R$ 22.435,Campanha Flexível , Viçosa	 MG,Por Acaso Arte  ,108%,R$ 22.435,17/11/2016,/por_acaso_arte_queroflex_c2a0?ref=ctrse_explore
288 pessoas,Meta R$ 19.985,R$ 22.435,Campanha Tudo-ou-nada , São Paulo	 SP,Molho Especial,112%,R$ 22.435,04/12/2016,/molhoespecial?ref=ctrse_explore
191 pessoas,Meta R$ 20.000,R$ 22.430,Campanha Tudo-ou-nada , Florianópolis	 SC,Roda de Passarinho na Caatinga,112%,R$ 22.430,30/08/2015,/rodadepassarinho?ref=ctrse_explore
272 pessoas,Meta R$ 15.000,R$ 22.425,Campanha Tudo-ou-nada , São Paulo	 SP,Born Cartolla,149%,R$ 22.425,30/09/2018,/born_cartolla_5a1c?ref=ctrse_explore
152 pessoas,Meta R$ 18.500,R$ 22.425,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Bicho Músico,121%,R$ 22.425,16/02/2018,/bichomusico?ref=ctrse_explore
338 pessoas,Meta R$ 18.500,R$ 22.407,Campanha Tudo-ou-nada , São Paulo	 SP,Patria Armada,121%,R$ 22.407,05/04/2014,/PatriaArmada?ref=ctrse_explore
54 pessoas,Meta R$ 25.000,R$ 22.380,Campanha Flexível , Rio de Janeiro	 RJ,Projeto Social Tribus,89%,R$ 22.380,05/09/2017,/projeto_social_tribus_c204?ref=ctrse_explore
202 pessoas,Meta R$ 20.000,R$ 22.379,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,ETNOPOP,111%,R$ 22.379,28/08/2012,/etnopop?ref=ctrse_explore
357 pessoas,Meta R$ 12.000,R$ 22.346,Campanha Tudo-ou-nada , São Paulo	 SP,Repense: Campanha de conscientização sobre a maconha medicinal,186%,R$ 22.346,16/05/2014,/repense?ref=ctrse_explore
226 pessoas,Meta R$ 22.000,R$ 22.346,Campanha Tudo-ou-nada , Brasília	 DF,Quadradinhas Vol. 2,101%,R$ 22.346,18/05/2019,/quadradinhas2?ref=ctrse_explore
207 pessoas,Meta R$ 20.555,R$ 22.298,Campanha Tudo-ou-nada , São Paulo	 SP,Biscoito do Bando de Seu Pereira,108%,R$ 22.298,20/12/2017,/biscoito-do-bando?ref=ctrse_explore
134 pessoas,Meta R$ 35.000,R$ 22.294,Campanha Flexível , Sorocaba	 SP,Mais Educaçāo - Mestrado na Inglaterra,63%,R$ 22.294,19/09/2016,/mestrado_inglaterra?ref=ctrse_explore
262 pessoas,Meta R$ 21.244,R$ 22.285,Campanha Tudo-ou-nada , Porto Alegre	 RS,DEZ CANÇÕES SEM AS QUAIS VOCÊ NÃO PODERÁ...,104%,R$ 22.285,14/06/2016,/dezcancoes?ref=ctrse_explore
224 pessoas,Meta R$ 19.622,R$ 22.270,Campanha Tudo-ou-nada , Porto Alegre	 RS,P-U-N-C-H,113%,R$ 22.270,12/02/2014,/punch?ref=ctrse_explore
117 pessoas,Meta R$ 46.494,R$ 22.270,Campanha Flexível , Recife	 PE,Fab Lab Recife no Paço Alfândega,47%,R$ 22.270,10/10/2016,/fablabrecife?ref=ctrse_explore
81 pessoas,Meta R$ 20.000,R$ 22.244,Campanha Tudo-ou-nada , São Paulo	 SP,Coletividad é organizar a aprendizagem do Brasil. ,111%,R$ 22.244,13/12/2014,/coletividad?ref=ctrse_explore
80 pessoas,Meta R$ 22.000,R$ 22.240,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Pingo de Graça - Pra gente a palhaçada é coisa séria!,101%,R$ 22.240,03/10/2015,/pingodegraca?ref=ctrse_explore
250 pessoas,Meta R$ 19.500,R$ 22.232,Campanha Tudo-ou-nada , Curitiba	 PR,Daniel e Bianca - 2a tiragem,114%,R$ 22.232,14/12/2015,/danielebiancasegundatiragem?ref=ctrse_explore
280 pessoas,Meta R$ 17.500,R$ 22.186,Campanha Tudo-ou-nada , São Paulo	 SP,BikeAnjo,126%,R$ 22.186,29/10/2011,/bikeanjo?ref=ctrse_explore
54 pessoas,Meta R$ 20.230,R$ 22.170,Campanha Flexível , São Paulo	 SP,Formação Docente em Diferenciação de Ensino ,109%,R$ 22.170,30/10/2017,/EDIPA?ref=ctrse_explore
217 pessoas,Meta R$ 20.000,R$ 22.155,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Nave,110%,R$ 22.155,14/10/2017,/nave_julhelena?ref=ctrse_explore
151 pessoas,Meta R$ 60.000,R$ 22.138,Campanha Flexível , São Paulo	 SP,Amada Foca - Possuídos,36%,R$ 22.138,09/03/2016,/amadafoca?ref=ctrse_explore
172 pessoas,Meta R$ 20.975,R$ 22.105,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,50 Maiores Defensores,105%,R$ 22.105,11/06/2017,/50maioresdefensores?ref=ctrse_explore
287 pessoas,Meta R$ 16.000,R$ 22.072,Campanha Flexível , Rio de Janeiro	 RJ,Melhor Amiga de Bolso,137%,R$ 22.072,26/08/2018,/primeirolivro_mariagabrielasaldanha?ref=ctrse_explore
74 pessoas,Meta R$ 21.500,R$ 22.055,Campanha Tudo-ou-nada , Porto Velho	 RO,Doses Casarão 2014,102%,R$ 22.055,29/09/2014,/dosescasarao2014?ref=ctrse_explore
246 pessoas,Meta R$ 22.000,R$ 22.000,Campanha Tudo-ou-nada , São Paulo	 SP,Efêmero Concreto 4,100%,R$ 22.000,03/07/2013,/efemeroconcreto4?ref=ctrse_explore
218 pessoas,Meta R$ 18.300,R$ 22.000,Campanha Tudo-ou-nada , Piracicaba	 SP,DVD Brincadeiras Musicais,120%,R$ 22.000,05/10/2018,/dvdbrincadeirasmusicais?ref=ctrse_explore
257 pessoas,Meta R$ 20.000,R$ 21.985,Campanha Tudo-ou-nada , Porto Alegre	 RS,TURUCUTÁ 2018,109%,R$ 21.985,27/02/2018,/turucuta2018?ref=ctrse_explore
74 pessoas,Meta R$ 18.000,R$ 21.970,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Projeto Reformadores,122%,R$ 21.970,07/02/2017,/projetoreformadores?ref=ctrse_explore
106 pessoas,Meta R$ 21.000,R$ 21.970,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Mangá Machado de Assis: caçador de monstros,104%,R$ 21.970,15/11/2016,/mangamachadodeassis?ref=ctrse_explore
131 pessoas,Meta R$ 3.000,R$ 21.970,Campanha Tudo-ou-nada , Curitiba	 PR,Grids Táticos - Macaco Dumal,732%,R$ 21.970,25/04/2019,/grids_taticos-Macaco-Dumal?ref=ctrse_explore
173 pessoas,Meta R$ 17.000,R$ 21.968,Campanha Tudo-ou-nada , São Paulo	 SP,Street Queens - O Livro,129%,R$ 21.968,10/08/2018,/streetqueens?ref=ctrse_explore
89 pessoas,Meta R$ 20.800,R$ 21.966,Campanha Tudo-ou-nada , Curitiba	 PR,Tour Lançamento do Livro "Entre Tantos",105%,R$ 21.966,23/12/2016,/tour_lancamento_do_livro_entre_tantos_72ab?ref=ctrse_explore
130 pessoas,Meta R$ 20.000,R$ 21.965,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Novo Álbum Cley Souza,109%,R$ 21.965,28/04/2019,/novoalbumcleysouza?ref=ctrse_explore
67 pessoas,Meta R$ 20.000,R$ 21.951,Campanha Tudo-ou-nada , Brasília	 DF,Livro sobre empreendedorismo e inovação,109%,R$ 21.951,10/01/2015,/appreendedor?ref=ctrse_explore
313 pessoas,Meta R$ 17.063,R$ 21.908,Campanha Tudo-ou-nada , Brasília	 DF,Nudus Magazine,128%,R$ 21.908,21/03/2016,/nudusmagazine?ref=ctrse_explore
341 pessoas,Meta R$ 17.000,R$ 21.899,Campanha Tudo-ou-nada , São Paulo	 SP,Baralho El Cabriton Projeto 54 - 8ª Edição,128%,R$ 21.899,24/08/2017,/projeto54-8?ref=ctrse_explore
79 pessoas,Meta R$ 17.000,R$ 21.890,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Auto Copa Park,128%,R$ 21.890,07/12/2014,/autocopapark?ref=ctrse_explore
417 pessoas,Meta R$ 8.000,R$ 21.890,Campanha Tudo-ou-nada , Porto Alegre	 RS,Dois Livrinhos,273%,R$ 21.890,03/10/2014,/doislivrinhos?ref=ctrse_explore
486 pessoas,Meta R$ 10.000,R$ 21.875,Campanha Tudo-ou-nada , Brasília	 DF,Cerulean,218%,R$ 21.875,18/04/2016,/cerulean?ref=ctrse_explore
248 pessoas,Meta R$ 17.876,R$ 21.866,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Faça a Rede Minha Curitiba acontecer!,122%,R$ 21.866,16/03/2015,/minhacuritiba?ref=ctrse_explore
144 pessoas,Meta R$ 9.800,R$ 21.815,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,A quantas separações uma mulher é capaz de sobreviver,222%,R$ 21.815,23/06/2014,/separacoes?ref=ctrse_explore
217 pessoas,Meta R$ 20.000,R$ 21.813,Campanha Tudo-ou-nada , Natal	 RN,ABOCA ABERTA,109%,R$ 21.813,16/04/2017,/ABOCAABERTA?ref=ctrse_explore
207 pessoas,Meta R$ 17.000,R$ 21.775,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Biografia colaborativa: Vídeo-entrevista com a educadora Léa Fagundes,128%,R$ 21.775,31/08/2012,/biografia-colaborativa-video-entrevista-com-a-educadora-lea-fagundes?ref=ctrse_explore
120 pessoas,Meta R$ 20.000,R$ 21.729,Campanha Tudo-ou-nada , Indaiatuba	 SP,Vectorlooza,108%,R$ 21.729,03/03/2013,/vectorlooza?ref=ctrse_explore
137 pessoas,Meta R$ 20.000,R$ 21.710,Campanha Tudo-ou-nada , São Paulo	 SP,C O S M O C O L M E I A *  livro + disco,108%,R$ 21.710,04/12/2015,/cosmocolmeia?ref=ctrse_explore
174 pessoas,Meta R$ 20.000,R$ 21.700,Campanha Tudo-ou-nada , Curitiba	 PR,O Gralha - Artbook,108%,R$ 21.700,18/07/2015,/gralha?ref=ctrse_explore
97 pessoas,Meta R$ 20.575,R$ 21.695,Campanha Tudo-ou-nada , São Paulo	 SP,FGÓES // ZONZO,105%,R$ 21.695,15/06/2015,/zonzo?ref=ctrse_explore
95 pessoas,Meta R$ 360,R$ 21.651,Campanha Flexível , São Paulo	 SP,Cartas de Magias - Late Pledge,6014%,R$ 21.651,09/08/2018,/cartas_de_magias2?ref=ctrse_explore
355 pessoas,Meta R$ 19.210,R$ 21.637,Campanha Tudo-ou-nada , Balneário Camboriú	 SC,1º álbum - O Muro de Pedra,112%,R$ 21.637,11/03/2017,/omurodepedra?ref=ctrse_explore
189 pessoas,Meta R$ 35.000,R$ 21.612,Campanha Flexível , Limeira	 SP,Carta da Terra - novo álbum do Laranja Oliva,61%,R$ 21.612,28/12/2017,/laranjaoliva?ref=ctrse_explore
326 pessoas,Meta R$ 15.087,R$ 21.560,Campanha Tudo-ou-nada , Porto Alegre	 RS,Acervo Independente - uma comunidade colaborativa de criação,142%,R$ 21.560,12/12/2013,/acervoindependente?ref=ctrse_explore
95 pessoas,Meta R$ 17.000,R$ 21.550,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,O Segredo Maior do Mundo,126%,R$ 21.550,01/06/2012,/o-segredo-maior-do-mundo?ref=ctrse_explore
